date,pm2.5,temp,pressure,wind,wind_speed,Is,Ir
2017-6-25,85,27,1004,SE,14.76,0,0
2017-6-26,87,31,1003,cv,7.14,0,0
2017-6-27,11,32,1007,cv,4.02,0,0
2017-6-28,14,36,1005,NW,45.59,0,0
2017-6-29,60,33,1006,SE,3.13,0,0
2017-6-30,93,33,1006,cv,7.15,0,0
2017-7-1,102,31,1005,SE,12.97,0,0
2017-7-2,56,24,1003,SE,3.58,0,0
2017-7-3,256,28,1001,cv,1.79,0,0
2017-7-4,152,32,1005,cv,3.57,0,0
2017-7-5,96,29,1007,SE,12.08,0,0
2017-7-6,180,29,1005,SE,50.08,0,0
2017-7-7,132,30,1003,SE,19.68,0,0
2017-7-8,26,34,1003,NW,5.81,0,0
2017-7-9,14,30,1005,NW,3.13,0,0
2017-7-10,15,35,1000,SE,1.79,0,0
2017-7-11,12,34,1000,NE,3.13,0,0
2017-7-12,6,32,1003,NE,42,0,0
2017-7-13,10,34,1002,NW,9.39,0,0
2017-7-14,21,34,1002,cv,3.58,0,0
2017-7-15,50,31,1004,SE,10.28,0,0
2017-7-16,159,27,1005,cv,0.89,0,2
2017-7-17,129,28,1006,SE,5.37,0,0
2017-7-18,125,31,1007,cv,1.79,0,0
2017-7-19,66,36,1009,SE,10.28,0,0
2017-7-20,55,34,1005,SE,21.01,0,0
2017-7-21,12,32,1002,NE,3.13,0,0
2017-7-22,NA,29,1007,NW,3.13,0,0
2017-7-23,13,30,1004,NW,12.07,0,0
2017-7-24,89,28,1007,NW,3.13,0,3
2017-7-25,31,32,1005,cv,1.79,0,0
2017-7-26,112,32,1009,cv,1.79,0,0
2017-7-27,133,34,1009,SE,3.13,0,0
2017-7-28,110,34,1004,SE,4.02,0,0
2017-7-29,92,32,1004,SE,104.6,0,0
2017-7-30,148,26,1007,SE,6.71,0,0
2017-7-31,180,29,1007,SE,13.87,0,0
2017-8-1,123,31,1007,cv,1.79,0,0
2017-8-2,101,32,1003,cv,3.56,0,0
2017-8-3,82,34,1001,cv,2.23,0,0
2017-8-4,5,22,1005,NE,30.4,0,1
2017-8-5,31,29,1007,cv,2.67,0,0
2017-8-6,8,33,1007,NE,8.94,0,0
2017-8-7,48,31,1009,SE,1.79,0,0
2017-8-8,72,31,1009,SE,6.71,0,0
2017-8-9,72,30,1006,SE,3.13,0,0
2017-8-10,37,30,1003,NW,3.13,0,0
2017-8-11,6,32,1005,NE,4.02,0,0
2017-8-12,19,32,1006,SE,6.26,0,0
2017-8-13,38,20,1009,NW,4.92,0,9
2017-8-14,28,27,1008,SE,1.79,0,0
2017-8-15,26,31,1007,cv,0.89,0,0
2017-8-16,48,31,1008,cv,2.67,0,0
2017-8-17,37,30,1010,cv,1.79,0,0
2017-8-18,59,28,1012,SE,3.58,0,0
2017-8-19,78,30,1012,cv,3.57,0,0
2017-8-20,81,32,1009,SE,4.92,0,0
2017-8-21,138,31,1006,SE,1.79,0,0
2017-8-22,42,27,1008,cv,3.56,0,0
2017-8-23,116,30,1005,SE,1.79,0,0
2017-8-24,4,30,1007,cv,0.89,0,0
2017-8-25,7,31,1011,NW,4.02,0,0
2017-8-26,13,33,1013,cv,1.78,0,0
2017-8-27,38,33,1013,SE,1.79,0,0
2017-8-28,66,28,1015,NW,7.15,0,0
2017-8-29,49,26,1016,cv,2.68,0,0
2017-8-30,196,25,1015,NE,3.58,0,0
2017-8-31,58,25,1013,cv,0.89,0,0
2017-9-1,144,25,1013,SE,8.95,0,0
2017-9-2,39,21,1010,cv,0.89,0,0
2017-9-3,8,28,1010,cv,2.68,0,0
2017-9-4,31,31,1005,cv,1.79,0,0
2017-9-5,109,27,1011,SE,9.39,0,0
2017-9-6,138,27,1012,SE,1.79,0,0
2017-9-7,176,27,1008,SE,5.37,0,0
2017-9-8,3,29,1011,NW,7.15,0,0
2017-9-9,31,27,1010,SE,1.79,0,0
2017-9-10,74,27,1014,SE,3.58,0,0
2017-9-11,93,25,1014,cv,0.89,0,0
2017-9-12,68,23,1015,cv,2.68,0,0
2017-9-13,50,25,1015,SE,9.84,0,0
2017-9-14,11,22,1019,NE,17.88,0,0
2017-9-15,4,26,1019,NW,11.17,0,0
2017-9-16,22,20,1018,SE,1.79,0,0
2017-9-17,44,20,1021,cv,1.78,0,0
2017-9-18,67,26,1020,NW,1.79,0,0
2017-9-19,118,24,1012,cv,4.92,0,0
2017-9-20,115,24,1010,cv,3.57,0,0
2017-9-21,67,23,1018,SE,3.58,0,0
2017-9-22,127,21,1019,NE,5.37,0,0
2017-9-23,36,18,1018,NW,4.02,0,14
2017-9-24,14,24,1016,cv,1.79,0,0
2017-9-25,148,20,1018,SE,3.58,0,0
2017-9-26,123,21,1010,SE,21.02,0,0
2017-9-27,10,23,1017,cv,1.79,0,0
2017-9-28,98,21,1017,SE,3.58,0,0
2017-9-29,17,23,1019,NE,21.45,0,0
2017-9-30,22,14,1027,SE,3.58,0,0
2017-10-1,91,14,1016,NE,1.79,0,0
2017-10-2,64,20,1012,NW,1.79,0,0
2017-10-3,84,16,1018,cv,1.78,0,0
2017-10-4,78,15,1019,SE,0.89,0,0
2017-10-5,8,22,1024,NW,29.95,0,0
2017-10-6,18,20,1025,cv,1.78,0,0
2017-10-7,104,18,1020,cv,2.68,0,0
2017-10-8,272,17,1019,NE,1.79,0,0
2017-10-9,343,20,1020,cv,0.89,0,0
2017-10-10,328,21,1023,cv,0.89,0,0
2017-10-11,246,18,1021,SE,9.84,0,0
2017-10-12,3,18,1032,NE,15.2,0,0
2017-10-13,9,16,1027,NW,21,0,0
2017-10-14,31,18,1020,cv,3.57,0,0
2017-10-15,13,21,1014,NW,28.6,0,0
2017-10-16,17,20,1022,SE,9.84,0,0
2017-10-17,87,20,1016,cv,2.68,0,0
2017-10-18,155,22,1017,cv,2.67,0,0
2017-10-19,292,20,1014,SE,6.71,0,0
2017-10-20,268,16,1018,SE,8.94,0,0
2017-10-21,38,14,1026,SE,40.68,0,0
2017-10-22,104,11,1023,SE,1.79,0,0
2017-10-23,145,15,1015,cv,1.78,0,0
2017-10-24,253,17,1011,cv,1.78,0,0
2017-10-25,331,17,1011,cv,1.78,0,0
2017-10-26,9,16,1027,NE,43.36,0,0
2017-10-27,35,13,1033,SE,3.13,0,0
2017-10-28,90,13,1027,cv,4.46,0,0
2017-10-29,105,15,1024,cv,1.78,0,0
2017-10-30,163,14,1023,cv,1.78,0,0
2017-10-31,144,15,1021,SE,1.79,0,0
2017-11-1,12,15,1020,NW,20.12,0,0
2017-11-2,6,14,1024,NW,184.16,0,0
2017-11-3,11,17,1021,cv,3.58,0,0
2017-11-4,118,13,1016,SE,5.37,0,0
2017-11-5,8,19,1017,NW,7.6,0,0
2017-11-6,7,10,1031,NE,41.13,0,0
2017-11-7,60,8,1033,cv,3.56,0,0
2017-11-8,74,11,1028,cv,1.79,0,0
2017-11-9,33,14,1025,cv,1.79,0,0
2017-11-10,38,14,1022,cv,1.78,0,0
2017-11-11,14,14,1018,NW,53.21,0,0
2017-11-12,5,7,1027,NW,252.14,0,0
2017-11-13,16,11,1025,NW,9.84,0,0
2017-11-14,21,11,1027,cv,5.37,0,0
2017-11-15,128,8,1028,cv,3.12,0,0
2017-11-16,22,11,1025,NW,14.75,0,0
2017-11-17,14,11,1031,NW,13.86,0,0
2017-11-18,52,11,1030,cv,2.68,0,0
2017-11-19,346,7,1023,cv,2.23,0,0
2017-11-20,314,6,1017,SE,1.79,0,0
2017-11-21,93,10,1020,cv,2.68,0,0
2017-11-22,31,11,1028,NW,26.83,0,0
2017-11-23,111,7,1025,SE,2.68,0,0
2017-11-24,19,10,1027,NE,10.73,0,0
2017-11-25,157,6,1021,cv,4.46,0,0
2017-11-26,241,6,1016,cv,3.56,0,0
2017-11-27,13,6,1025,NW,5.81,0,0
2017-11-28,77,8,1020,cv,1.78,0,0
2017-11-29,301,4,1021,cv,2.23,0,0
2017-11-30,23,8,1022,NW,57.67,0,0
2017-12-1,14,-1,1033,NW,313.38,0,0
2017-12-2,52,-1,1028,cv,2.68,0,0
2017-12-3,11,0,1027,NW,51.85,0,0
2017-12-4,9,0,1027,NW,37.55,0,0
2017-12-5,13,2,1027,NW,29.05,0,0
2017-12-6,16,4,1026,cv,1.79,0,0
2017-12-7,54,4,1026,NW,12.97,0,0
2017-12-8,40,3,1035,cv,2.68,0,0
2017-12-9,339,-1,1035,cv,0.89,0,0
2017-12-10,63,5,1026,NW,23.68,0,0
2017-12-11,14,3,1031,NW,8.05,0,0
2017-12-12,17,2,1027,NW,103.25,0,0
2017-12-13,58,2,1029,cv,0.89,0,0
2017-12-14,53,5,1027,cv,1.79,0,0
2017-12-15,10,4,1027,NW,57.66,0,0
2017-12-16,9,-1,1031,NW,250.32,0,0
2017-12-17,152,0,1029,cv,0.89,0,0
2017-12-18,132,1,1029,NE,1.79,0,0
2017-12-19,17,5,1024,NW,64.37,0,0
2017-12-20,NA,0,1030,NW,244.97,0,0
2017-12-21,21,0,1027,NW,396.49,0,0
2017-12-22,80,6,1024,cv,1.78,0,0
2017-12-23,95,6,1020,NW,21.02,0,0
2017-12-24,12,4,1034,NW,4.92,0,0
2017-12-25,16,7,1033,NW,7.15,0,0
2017-12-26,131,0,1032,cv,0.89,0,0
2017-12-27,194,3,1029,NW,27.73,0,0
2017-12-28,69,7,1019,NE,1.79,0,0
2017-12-29,56,9,1013,NW,3.13,0,0
2017-12-30,49,7,1019,SE,3.58,0,0
2017-12-31,17,0,1033,NW,177.44,0,0
